"RA","Dec"
16.3850972858051,-31.714586258294
16.3966984847666,-31.706585474343
16.4029149749436,-31.6959772981365
16.4003214220037,-31.6800258718233
16.3945230747456,-31.6708287575699
16.3810117538859,-31.668490609644
16.3696108990211,-31.6644321636657
16.3663500362124,-31.6568434771939
16.3543321464229,-31.6588182023214
16.3521073060413,-31.6699906343924
16.3435192846642,-31.6786598395064
16.3396233246976,-31.6905436627781
16.336724580769,-31.7041008578574
16.3430715368709,-31.716507018981
16.3533009544207,-31.7247936574037
16.3838146746304,-31.721268128797
