"RA","Dec"
23.5892068956377,-29.3952150400829
23.565802750775,-29.383333950691
23.5450422363954,-29.3846632045977
23.5343843777042,-29.392185162096
23.526867028622,-29.4024079625998
23.5253320111597,-29.4151114838554
23.5278900673569,-29.427627971581
23.5412475687911,-29.4366675501412
23.5591432783516,-29.4473449686692
23.5758538099849,-29.4551661768519
23.6029955432919,-29.4612719280782
23.6212395364913,-29.4560932242062
23.6306865227424,-29.4425712719626
23.6314843566296,-29.4314132741726
23.6265632498805,-29.4132341840679
23.6090017468035,-29.4013056176176
