,RA,Dec
0,42.2959604,-31.2717592
1,42.2873604,-31.2702004
2,42.2765452,-31.2733186
3,42.2727645,-31.2871286
4,42.2723719,-31.2986
5,42.2754992,-31.3065077
6,42.2850147,-31.3115198
7,42.2903593,-31.3097377
8,42.2993526,-31.3018295
9,42.2985686,-31.2876852
10,42.2989586,-31.2807801
