"RA","Dec"
224.664788115308,-1.071948319039
224.648231738569,-1.07130939040577
224.630035340304,-1.07194473354764
224.616470893125,-1.07300298687659
224.588035309408,-1.07620966069971
224.560164988775,-1.07746606428236
224.538233071529,-1.0850818849801
224.526100865169,-1.09317937643813
224.522307459763,-1.10336658708144
224.534727424027,-1.10893654419066
224.556119221078,-1.11120613058694
224.586417215681,-1.11297256290697
224.609642339653,-1.10908117876347
224.630923416138,-1.10250295777917
224.647102042102,-1.09514677406706
224.656676104091,-1.0873580497159
224.664460828101,-1.0771099153517
