"RA","Dec"
7.57311255464221,-33.2748989551749
7.59120412234065,-33.2649027616805
7.60818195929772,-33.2526932724599
7.61802843437841,-33.242214435639
7.63917536015599,-33.2292172355245
7.65448107477413,-33.2165040469732
7.66160313111174,-33.2087301139359
7.65835223817639,-33.2004688699849
7.64892077827097,-33.2020143303087
7.62974609327563,-33.210333570882
7.6184313286449,-33.2103017127476
7.60374013521173,-33.2123656605036
7.58747657244449,-33.2209612074169
7.56989452744731,-33.2322952351056
7.55333646215906,-33.2524867724784
7.53714759560356,-33.2730763735354
7.5280871421948,-33.2887398475934
7.52941097362775,-33.2977848905558
7.54120630710184,-33.2949349063102
7.56303115916061,-33.2841485421775
