"RA","Dec"
183.243551523173,1.28587647074905
183.242212107934,1.29568792444618
183.232273972817,1.30699913798199
183.226534608147,1.31798160212241
183.217826097707,1.32706597855568
183.206023063934,1.33224927846957
183.197021097098,1.33410510940388
183.19108027193,1.33258448787651
183.187872728027,1.32408572038067
183.188639676601,1.31381202026036
183.192842180815,1.30206176300342
183.198061840519,1.29420798913838
183.203508163656,1.28528905419371
183.211138355928,1.28131125762884
183.21970317556,1.27384594381646
183.226072598789,1.26631863759962
183.23898829547,1.26103891164169
183.250077497966,1.26770656219237
183.249758971984,1.27698349438292
