"RA","Dec"
12.3641378598412,-34.9420347636011
12.3811735761271,-34.9457341500998
12.3954562227217,-34.9371431748798
12.4002242320334,-34.9246173518895
12.4006834570289,-34.9140233715093
12.3971366420899,-34.9056238807041
12.392711504191,-34.897506907888
12.3875513456957,-34.8932949614988
12.3764279846475,-34.8913720623303
12.3632730704997,-34.8958985098771
12.3522572084348,-34.8999010257402
12.3457326716593,-34.902210625108
12.3435423872787,-34.9097864604802
12.3461513254131,-34.9207618105317
12.3509254944462,-34.9295609428738
12.3605653102972,-34.9381360153517
