"RA","Dec"
188.662013542233,-0.217195082546273
188.676557357761,-0.218671355377716
188.686177049991,-0.223275810617447
188.691294493674,-0.233867555002072
188.693611079994,-0.248876610186349
188.696046179277,-0.253664818280467
188.698741853053,-0.241884552673
188.699940845241,-0.230817497547996
188.696639218029,-0.221611282564586
188.691553942574,-0.214421639266567
188.687107025749,-0.208198434975581
188.67831493967,-0.205729449455822
188.665782971304,-0.205485107181969
188.66086220997,-0.210274648213695
