"RA","Dec"
215.11343724399,3.98061172187623
215.097116686779,3.97819767985959
215.084452325242,3.97030948272818
215.080496557175,3.96101973150714
215.072413399356,3.9520944935958
215.064361222272,3.94251438419837
215.059362702817,3.93169882489943
215.054432958938,3.92262726301968
215.051259378554,3.9142357324034
215.046469654905,3.90572811369151
215.045597173415,3.89680971747402
215.0493590705,3.88689168909297
215.055575080411,3.88213894645445
215.063959962445,3.88210076538878
215.073850099889,3.88796023476956
215.083282561119,3.89688321050793
215.08902751489,3.90538216675261
215.095967751199,3.91709589148135
215.100215615454,3.92494793522653
215.106477227461,3.93377538933205
215.109364808489,3.94179988238465
215.114081963285,3.95033769558813
215.118228664268,3.96162333167059
215.121917082114,3.97341334956198
215.118709238086,3.97929567516595
