"RA","Dec"
52.8174060474731,-33.6277189659037
52.8134222528511,-33.6141653214107
52.8060712159352,-33.6000632259197
52.8018971460197,-33.5870277848979
52.7901466625571,-33.5806205773667
52.7801592073986,-33.5771234660436
52.7696721353118,-33.5791157185115
52.7620111352368,-33.5879843407371
52.7539273948978,-33.6040705792808
52.7486323611082,-33.6238827389617
52.7518056729523,-33.6420933187328
52.7551356977658,-33.6596406134509
52.7700362894902,-33.6778883663078
52.785590710216,-33.6801116779167
52.7995133331015,-33.6732737834866
52.8081892827247,-33.6629341015013
52.8181031908144,-33.6389541167464
