"RA","Dec"
-3.05955962623203,-30.5077040731078
-3.06604984635678,-30.5202444389369
-3.06526099536676,-30.5371269060962
-3.06161892165961,-30.5471663626737
-3.04919462649391,-30.5566388663543
-3.02783248630624,-30.5575744423067
-3.00714675930731,-30.5504581572432
-2.99490689309965,-30.5415192509863
-2.99163936395496,-30.5251413830238
-2.99425611447914,-30.5123155424228
-3.0021045796706,-30.5030205439504
-3.01327892912141,-30.4980830924959
-3.03205742638057,-30.495498884711
-3.04984293395396,-30.5029251653267
