,RA,Dec
0,188.5876772,2.6833052
1,188.5746139,2.6918996
2,188.5542214,2.6912641
3,188.5306426,2.6874456
4,188.5147109,2.6775792
5,188.4911325,2.6607104
6,188.4780691,2.6486156
7,188.478388,2.6323833
8,188.4869908,2.6215619
9,188.495912,2.617106
10,188.5105683,2.6180608
11,188.5354204,2.626654
12,188.5554936,2.6349285
13,188.5758857,2.6451124
14,188.5879941,2.6581611
15,188.5905441,2.6728018
