,RA,Dec
0,215.2470734,3.2540076
1,215.2361217,3.2547643
2,215.2270766,3.2504825
3,215.2211744,3.2454413
4,215.2186061,3.2384046
5,215.2182288,3.2296574
6,215.2234696,3.2213877
7,215.2318488,3.2231022
8,215.2418458,3.2276694
9,215.2481276,3.2361334
10,215.2494573,3.2456416
