"RA","Dec"
180.090880585393,-1.1323581076125
180.108291553374,-1.12729694858456
180.116144500598,-1.11689768352731
180.127166511101,-1.10580732544444
180.131282896732,-1.09475057801007
180.132326486621,-1.08116823041707
180.127353474038,-1.07102931451009
180.120614331541,-1.06538417787424
180.110687868128,-1.06111995281178
180.097216874333,-1.06112976332734
180.079856114851,-1.07830015138418
180.073400602954,-1.08735579075501
180.067475555415,-1.10075413931284
180.069313841523,-1.11843345897936
180.081510416744,-1.12955384138932
