,RA,Dec
0,29.4970127,-32.9751457
1,29.4875286,-32.9714203
2,29.4773249,-32.9717226
3,29.463639,-32.9764548
4,29.4596735,-32.9921649
5,29.4657956,-33.0012297
6,29.4800855,-33.0053597
7,29.4894522,-33.0021366
8,29.496776,-32.9946834
9,29.5024169,-32.9837052
