,RA,Dec
0,356.8856287,-28.0947533
1,356.8677909,-28.0897923
2,356.8551333,-28.090992
3,356.8483227,-28.0993814
4,356.8463516,-28.111583
5,356.8548772,-28.1233246
6,356.8632151,-28.1258074
7,356.8827101,-28.1250339
8,356.8905193,-28.1166407
9,356.8951621,-28.1084009
10,356.8901482,-28.1026799
