"RA","Dec"
193.144003770172,-1.17712565916052
193.125228832253,-1.17075149720793
193.111181737585,-1.17169901577765
193.094936538523,-1.16688929369285
193.081436665908,-1.16344709332684
193.066624153804,-1.16404974583804
193.052712812641,-1.17342153839423
193.048547215897,-1.18206888256378
193.04883906667,-1.19122511716425
193.040427683488,-1.19544390699789
193.033208610805,-1.20273989481362
193.024975031821,-1.2093049592065
193.020461738967,-1.21885520790915
193.030080412652,-1.22535006927796
193.04359169437,-1.22847269623257
193.056999908921,-1.22981523646159
193.073209606411,-1.2361012075321
193.087821792453,-1.24012962833803
193.104731831045,-1.23636092019692
193.109507207285,-1.23248149930869
193.127803851913,-1.22886116877059
193.137516435848,-1.21955510449949
193.138475126448,-1.20858076270913
193.143820216972,-1.20306883257942
193.152448491641,-1.19770616907371
193.152799240055,-1.18723587254989
193.147729716404,-1.18196886770255
