mean_mag mag_bin_centre luminosity_function no_galaxies V5 V6 V7 V8 V9
-21.325 -21.325 0.0014628 2149 0.0016646 0.0018551 0.0017884 0.0015245 0.0010126
-21.274 -21.275 0.0016293 2281 0.0014505 0.002136 0.0019781 0.001537 0.0012838
-21.225 -21.225 0.0018576 2479 0.002055 0.0021803 0.0022829 0.0017517 0.001436
-21.175 -21.175 0.0020173 2564 0.001182 0.0024168 0.0023855 0.0019128 0.0016038
-21.125 -21.125 0.002305 2786 0.0023405 0.0027272 0.0025815 0.0021829 0.0018327
-21.075 -21.075 0.0025942 2986 0.0027364 0.0028824 0.0030014 0.0024424 0.0018213
-21.025 -21.025 0.0028023 3065 0.0022072 0.0035698 0.0030916 0.0025802 0.0017352
-20.975 -20.975 0.0030245 3141 0.0026003 0.0032076 0.0032409 0.0028724 0.0026715
-20.925 -20.925 0.0032152 3172 0.0033962 0.0033924 0.0034306 0.0030251 0
-20.875 -20.875 0.0034689 3246 0.0035979 0.0036067 0.003555 0.0033616 0
-20.825 -20.825 0.0038666 3430 0.0037537 0.0038358 0.0040091 0.0037704 0
-20.775 -20.775 0.0041252 3468 0.0036871 0.0043458 0.004289 0.0039252 0
-20.725 -20.725 0.0042934 3418 0.003976 0.0041463 0.0044414 0.0042291 0
-20.675 -20.675 0.0044145 3326 0.0047028 0.0042645 0.0045907 0.0042563 0
-20.625 -20.625 0.0046278 3299 0.0040242 0.0046784 0.004768 0.0044638 0
-20.575 -20.575 0.0050397 3398 0.0048337 0.0051588 0.0051412 0.0048161 0
-20.525 -20.525 0.0052374 3337 0.0039464 0.0053362 0.0052718 0.0052696 0
-20.475 -20.475 0.0053668 3230 0.0049679 0.0056023 0.0051567 0.0057268 0
-20.425 -20.425 0.0058447 3323 0.0047348 0.0059422 0.0058783 0.0058633 0
-20.374 -20.375 0.0061144 3281 0.0053625 0.0059644 0.0060836 0.0069392 0
-20.325 -20.325 0.0062066 3144 0.0062864 0.0060753 0.0062733 0.0059957 0
-20.275 -20.275 0.0063202 3012 0.0053727 0.0061935 0.0064441 0.0029045 0
-20.225 -20.225 0.0063286 2852 0.0059108 0.005824 0.0065955 0 0
-20.175 -20.175 0.0068198 2898 0.0069562 0.0064744 0.0069842 0 0
-20.125 -20.125 0.0072471 2902 0.007109 0.0069548 0.0074229 0 0
-20.075 -20.075 0.0073371 2769 0.0062911 0.0071987 0.0075377 0 0
-20.025 -20.025 0.0075385 2680 0.0067416 0.007413 0.0077225 0 0
-19.975 -19.975 0.0078486 2628 0.006266 0.0077013 0.0081788 0 0
-19.925 -19.925 0.0083321 2626 0.0070524 0.0075534 0.0092 0 0
-19.876 -19.875 0.008307 2465 0.0066634 0.0083443 0.0085564 0 0
-19.825 -19.825 0.0077195 2156 0.0065692 0.0077973 0.0078629 0 0
-19.775 -19.775 0.0078265 2056 0.0071446 0.0077456 0.0080846 0 0
-19.726 -19.725 0.0081396 2012 0.0073852 0.0078565 0.0087792 0 0
-19.675 -19.675 0.0079822 1857 0.006459 0.0079452 0.0085632 0 0
-19.625 -19.625 0.0084217 1841 0.0069924 0.0083516 0.0091505 0 0
-19.575 -19.575 0.0084252 1732 0.0077746 0.0086177 0.0081938 0 0
-19.526 -19.525 0.0085633 1654 0.0082649 0.0088468 0.0076065 0 0
-19.475 -19.475 0.0087068 1582 0.0075515 0.0090316 0.0079848 0 0
-19.425 -19.425 0.0086758 1481 0.0089127 0.0088912 0.0055547 0 0
-19.375 -19.375 0.0095033 1525 0.0087809 0.0096272 0.009922 0 0
-19.326 -19.325 0.0098092 1479 0.0096844 0.009833 0 0 0
